Not Relevant,"RT @HumaneSociety: Crystal Mtn Road
Relevant,"RT @TheUmno: MT @KellyNehls: #photo Unedited photo from New Belgium Brewery #highparkfire #fortcollins #loc New Belgium Brewery # http:/ ..."
Relevant,"RT @SignaramaFC: Mulberry &amp; Lemay vie west 30 min ago. Can hardly believe it's actually 15 miles away!  #highparkfire http://t.co/vm ..."
Relevant,"#wildfire high park fire  http://t.co/OHB5nPtY"
Relevant,"This is crazy #highparkfire http://t.co/TJyXcdNN"
Relevant,"RT @jawtry: RT @runnermwilliams: SW side of Ft Collins. It's like a scene from Independence Day. #highparkfire http://t.co/NYFVinVM"
Not Relevant,"RT @9NEWS: #HighParkFire press conference: 20
Relevant,"#IFWT Colorado Wildfires Getting Worse - http://t.co/OhpuHWbi"
Relevant,"Colorado fire displaces hundreds; 1 person missing: Firefighters in Colorado and New Mexico are battling wind-fu... http://t.co/R6OQwpix"
Not Relevant,"Hundreds evacuated as Colorado
Relevant,"RT @cnnbrk: Colorado #wildfire doubles in size on Sunday. http://t.co/CepAPje9"
Not Relevant,"#LarimerCounty Colorado
Relevant,"RT @u2videoqueen: Smoke plume from #HighParkFire.  Viewed from Northern #Boulder county. http://t.co/z56NZeJ3"
Not Relevant,"#telluride #colorado #landscape  http://t.co/YU7bQZvb"
Relevant,"#offer @nocok9cop We can take in a couple or small family + pets at our house for evacuees of #highparkfire - #loc live in Windsor."
Not Relevant,"Sunset I shot last April on top of Buckhorn Mountain
Relevant,"CNN: Homes at risk from Colorado wildfire: Hundreds of families took refuge early Monday at a northern Col... http://t.co/1whTp6PL #news"
Relevant,"Homes at risk from Colorado wildfire: Hundreds of families took refuge early Monday at a northern Colorado ... http://t.co/OoYTzBfx #CNN"
Relevant,"#highparkfire apparently now larger than the city of Boulder at approximately 31.25 sq miles"
Relevant,"RT @HumaneSociety: Every crew out there is risking their life. Our thoughts are with all of them #highparkfire"
Not Relevant,"Pray for rain! RT @LarimerSheriff: #HighParkFire is now at 36
Relevant,"RT @HumaneSociety: we'll second that! RT @nalowry: Shout out to all local news agencies keeping people updated on the #highparkfire"
Not Relevant,"RT @denverpost: Colorado wildfire: High Park Fire in Larimer County now up to 36
Not Relevant,"RT @ExaminerWeather: #HighParkFire explodes to 36
Relevant,"@wind4me Great point. Did see a request for tankers form Canada to aid has been made. #HighParkFire"
Relevant,"RT @TimesCall: Colorado's High Park fire has burned nearly 58 square miles. http://t.co/dqqFGDjr"
Not Relevant,"Follow @TaliahBeatz RT @ressiVdanor RT @HADIARE: #OPENFOLLOW Fort Collins
Not Relevant,"“Latest info: 36
Relevant,"Next #HighParkFire RESIDENT briefing: 3pm McKee bldg at The Ranch in Loveland. @DenverChannel #Denver7"
Relevant,"RT @KDVR: Follow the latest #HighParkFire updates with our live blog &amp; chat room http://t.co/fBRlcE2o #breakingnews #fortcollins"
Not Relevant,"I'm at East Library (Colorado Springs
Relevant,"Great info on how to help #people and #pets http://t.co/oawrZZoK via @ColoradoStateU #HighParkFire #cofire"
Relevant,"RT @danbaileyphoto: Best wishes to all of my Northern Colorado friends who are in the path of the out of control High Park Fire."
Not Relevant,"Due to Colorado wildfires
Relevant,"Photos: Fire threatens man and nature: Photos: Northern Colorado fire rages on       http://t.co/GgPZl7Zf"
Relevant,"MT @KyleClark: Please keep #HighParkFire firefighters in your thoughts/prayers. Difficult day looms for them."
Relevant,"RT @LarimerCounty: Map of #HighParkFire as of 00:20 this morning. http://t.co/5NcEjnop"
Not Relevant,"RT @Ash_ann88: My friend took this at Horsetooth Reservoir
Relevant,"Colorado wildfire 'moving fast' http://t.co/1VTm9QbN"
Relevant,"RT @SMEM911: RT @nocoredcross: #HighParkFire @RedCrossDenver @NoCORedCross People who want to volunteer may call 211 to be put on a wait ..."
Not Relevant,"Sending lots of positive thoughts to Larimer County
Relevant,"Photo of the Colorado wildfire from space (via @NASA) http://t.co/AWCRkwr2 #HighParkFire #FortCollins #Highpark #Lemay via @michaelhayes"
Not Relevant,"Damage Assessment teams for #HighParkFire being assembled to determine what' structures have been burned
Not Relevant,"RT @CBSDenver #HighParkFire continues to have multiple heads
Not Relevant,"New Mexico
Relevant,"The copter is on the way to the #HighParkFire. We'll be airing it live throughout our coverage. You can also follow @CodyCrouch for pics."
Not Relevant,"#boulder #colorado #hiking  @ Mount Sanitas Summit http://t.co/h26XBU70"
Relevant,"RT @9NEWS: #HighParkFire - CONFIRMED cause of fire is lightning strike"
Relevant,"@scottbalster @gnip @mapbiquity @imnickarmstrong any ideas on a domain name? Re #HighParkFire house matching w displaced people."
Relevant,"RT @KyleClark: Sources tell @9news a 62 yr old woman has died in the #HighParkFire"
Relevant,"62 year old linda stedman killed in #highparkfire"
Not Relevant,"The High Park fire west of Fort Collins
Not Relevant,"Current estimate for #HighParkFire is 41
Relevant,"RT @YahooNews: Hundreds are evacuated as the wildfires in Colorado and New Mexico continue to spread: http://t.co/kE24RNiZ"
Not Relevant,"RT @dailycamera: #HighParkFire has grown to 41
Not Relevant,"Smokey sunset #highparkfire #sunset #nature  @ Fort Collins
Not Relevant,"So proud of the Colorado Springs Air Force graduating class.  You guys did it!"
Not Relevant,"RT @news_com_au: MORE firefighters have been recruited to help fight a raging wildfire in the western US state of Colorado
Not Relevant,"RT @jawtry: RT @travisswan: #HighParkFire 3 panoramas I took today from h.287
Relevant,"Forest fires in Colorado and New Mexico. :("
Not Relevant,"Colorado fire: 41
Relevant,"VIDEO: Colorado wildfire 'moving fast' http://t.co/RvRouaTA"
Not Relevant,"Colorado fire: 41
Relevant,"BBC News - Hundreds forced from their homes by Colorado wildfire http://t.co/rAKBJwQJ"
Not Relevant,"RT @NBCNews: New Mexico
Not Relevant,"Pre-evacuation notice for part Glacier View CR74E
Relevant,"RT @dhorning11: RT @LarimerCounty: #HighParkFire burn area map as of Monday night 10 p.m. http://t.co/1guBTcXX"
Not Relevant,"RT @LarimerSheriff: #HighParkFire now at 43
Not Relevant,"RT @USParalympics: .@USATriathlon is hiring a paratriathlon manager to work in Colorado Springs
Not Relevant,"@9NEWS: Incident command: NE &amp; SE corners
Not Relevant,"Colorado Fires Map: Colorado Fires Map
Not Relevant,"RT @infodude: Did some math
Relevant,"Woke up to the smell of smoke in Denver this morning. Thoughts are with those affected by #HighParkFire"
Not Relevant,"RT @SarahBisbing: #HighParkFire #ecosystems Densely stocked forest
Relevant,"High Park Wildfires Whip Through Colorado http://t.co/x0ARQdcY"
Not Relevant,"RT @katelynburkhart: praying for the people
Relevant,"@KateWilson0605 thanks! I just built it fast as I didn't have much time! God bless you! #HighParkFire"
Relevant,"It is doingsome raining #onthefarm!!!   LORD send of this to put out the fires in Colorado.  #Thrutheflames safety!!!   #BelovedofGOD"
Not Relevant,"For the latest on the massive #HighParkFire
Relevant,"RT @LarimerSheriff: #HighParkFire evacuation orders issued for Pingree Park area.  25 notifications sent http://t.co/oSmxBfqJ"
Relevant,"RT @gannett: Terrific panorama shot of the #HighParkFire from @MattStephens with the @coloradoan.  http://t.co/fkp7jsfK"
Relevant,"RT @BreakingNews: Evacuation order issued in Colorado's High Park Fire - @LarimerSheriff http://t.co/HuSEbG39"
Relevant,"RT @BreakingNews: Evacuation order issued in Colorado's High Park Fire - @LarimerSheriff http://t.co/HuSEbG39"
Relevant,"RT @MattSantomarco: RT @coloradowx: SOBERING: The #HighParkFire has now grown to over 56 square miles. All of #Denver is 44 square miles ..."
Not Relevant,"So sad! 43
Not Relevant,"More details on Yuma Firefighter who died in rollover accident: http://t.co/2vvvcuMO via @KSWT #azfire #wildfire #fire"
Relevant,"Colorado State University classes disrupted by High Park Fire  http://t.co/byA9WRQu"
Relevant,"Is the Colorado Wildfire the Future Norm? http://t.co/yfgHINNf"
Not Relevant,"#highparkfire It's a slow progress
Not Relevant,"Is support of those fighting the fire in northern Colorado
Relevant,"RT @kmitchellDP: Colorado wildfire: some residents defy evacuation order for #highparkfire. http://t.co/GuU8MduG"
Relevant,"RT @coloradoan: RT @LarimerHumane: ready for more evacuated animals from #highparkfire - call dispatch at 970-226-3647 ext. 7 to find ou ..."
Not Relevant,"Beyond the trauma of losing a home
Relevant,"The fire in Colorado is still burning?"
Relevant,"High Park Fire in Colorado http://t.co/yi1nnag1"
Not Relevant,"People in Colorado shrug off a gigantic fire that one one can put out due to the unstoppable wind
Not Relevant,"Thx!! RT @CommUlinks: Read Charitable #Colorado ▸ today's top stories via @Summit54 @UrbanLandC @WalkingMtns  ▸ http://t.co/zZhZxxto"
Not Relevant,"Colorado wild fire now 44
Not Relevant,"@glennbeck you are looking better.  Hope you come back to Colorado Springs sometime soon."
Not Relevant,"Colorado Springs hiring outlook improves - The Business Journal http://t.co/0zjG0D9l"
Not Relevant,"Colorado
Relevant,"Colorado to double wildfire crews http://t.co/Zky8ALMM"
Relevant,"Colorado State University classes disrupted by High Park Fire – 9News http://t.co/MHFEQIIz"
Relevant,"Colorado to double wildfire crews: Officials plan to more than double the amount of fire engines battling the ra... http://t.co/6lsEbXJY"
Not Relevant,"Search Healthcare $ Registered Nurse (RN) at Select Specialty Hospital (Colorado Springs
Not Relevant,"Colorado
Relevant,"4 Northern Rockies T2IA Crews are mobilizing to Colorado and New Mexico to assist with wildland fire suppression efforts."
Not Relevant,"#HighParkFire live briefing: Bill Hahnenberg
Not Relevant,"@amitvkaushik Poncha Springs Colorado CO http://t.co/mIFtULJy"
Relevant,"RT @RichKurtzman: #HighParkFire update: Fire officials now say they may not be able to put the fire out until NEXT summer!"
Relevant,"Great one here: Colorado wildfire roars to 73 square miles - Fox News  [a link in my bio]"
Not Relevant,"Colorado wildfire smoke blows into Cheyenne
Not Relevant,"Colorado wildfire smoke smudges skies in Wyoming: LOVELAND
Not Relevant,"Colorado wildfire smoke chokes Cheyenne
Not Relevant,"RT @K_Wills21: So I set the world on fire!  (whoops
Relevant,"RT @gbrockell: Wow this is the most amazing map of the #highparkfire I have seen. Takes a while to load but worth it. http://t.co/g4qpMOL4"
Not Relevant,"Other/Attorney/In House/Colorado Springs
Relevant,"RT @Kswan11: Pic of #highparkfire from Estes park high school http://t.co/hTVMKlk6"
Not Relevant,"@BravoTangoTees Sara in Colorado Springs ... #BTturns1"
Not Relevant,"#colorado Team USA to Compete at Pan Am Zonal Fencing Championships in ... http://t.co/hvZgtbHE"
Not Relevant,"RT @RMACCFireinfo: Tanker update: 6 pm
Not Relevant,"I miss my sister already. #colorado"
Not Relevant,"Love sippin this @BoulderBeerCo Singletrack while on the train in Glenwood Canyon
Not Relevant,"Miss it already #Colorado http://t.co/jOT4Ul34"
Relevant,"Airstrip in Colorado Springs."
Not Relevant,"New post: NEW POLL: High Support for Marijuana Legalization in Colorado
Relevant,"We're finishing up our #HighParkFire coverage for the night. @KellyCBS4 will have the very latest tomorrow AM on @CBSDenver"
Relevant,"RT @meggrieve: Poetic. #highparkfire  http://t.co/F8eKA8JB"
Not Relevant,"Can it be Sunday morning already? #Colorado #Plz #IHateTexas"
Relevant,"RT @denverpost: PHOTOS: Here's an updated look at the #HighParkFire through the lens of @denverphotos: http://t.co/v6VS2vNH"
Not Relevant,"Colorado I'll see you soon #colorado #heaven #sonicbloom #festyseason #mountains 💗💗💗 http://t.co/2KlguV2G"
Not Relevant,"Armed robbers get away: Colorado Springs police say two black men entered the Ambassador Adult Entertainment Store... http://t.co/4oUiDEGE"
Relevant,"RT @DenverChannel: RT @1310kfkanews: @larimersheriff just told 1310 KFKA the acreage of the #Highparkfire may grow significantly today"
Not Relevant,"RT @paterosbrew: #HighParkFire fundraiser THIS SATURDAY
Not Relevant,"Forlan no Inter: sites na europa dizem que sim. Mas lembrem-se
Not Relevant,"#ayp #arvada #colorado (@ Personal Benefit Services Wealth Management w/ @erika1h) http://t.co/RYrXPlCQ: #ayp #a... http://t.co/XFDFP3lB"
Relevant,"RT @DenverChannel: Watch #HighParkFire live update from officials:  http://t.co/ShSjABQq"
Not Relevant,"RT @coloradoan: #HighParkFire live briefing: Commander
Not Relevant,"RT @MickeyFactz Sad Really: I know we not talking about bottle fights... Not when Colorado has wildfires
Not Relevant,"RT @LarimerCounty #HighParkFire website containing fire info
Relevant,"RT @LarimerSheriff: #HighParkFire Another evacuation area notice has been lifted. Please check out link http://t.co/KXPBivpb"
Relevant,"RT @doyourpartorg: Thunderstorms expected to affect NW portion of the #HighParkFire by 2:30 pm today - 20-30 mph gusts w/light to modera ..."
Not Relevant,"Homeowners from the Stratton Park
Not Relevant,"RT @BreakingNews: Colorado wildfire now over 50
Relevant,"RT @LarimerHumane: Marsha and her husband had to leave their horses and evacuate immediately from the #HighParkFire. Larimer Humane... h ..."
Not Relevant,"#HighParkFire has burned about 73 square miles. Washington
Not Relevant,"RT @themishawaka: As per this morning's burn maps
Relevant,"Watch live:  Colorado Wildfire Aerials http://t.co/DwR1UnqW"
Relevant,"Colorado wildfire: Tankers resume fighting 52000-acre High Park fire - Denver Post: Fox 31 KDVR.comColorado wild... http://t.co/a3Uxxcps"
Not Relevant,"RT @TimesCall: #HighParkfire 15% contained
Not Relevant,"More evacuated as wildfires spread in New Mexico
Not Relevant,"RT @dailycamera: Boulder County crews handled two fires started by lightning in foothills west of #Boulder tonight. One in Sugarloaf
Not Relevant,"RT @jpmeyerDPost: Not a good development. MT @KyleClark: #HighParkFire has jumped the Poudre
Relevant,"Colorado High Park fire now 15% contained; hundreds of homes to be evacuated – InciWeb via @NBCNews http://t.co/jyhWaOg5"
Not Relevant,"Strawberry Days social networking brings talent to more than one ...: GLENWOOD SPRINGS
Relevant,"Colorado wildfire hops road: Firefighters Thursday made progress against a massive wildfire 15 miles west of For... http://t.co/vg18pC4v"
Relevant,"CNN: Colorado wildfire hops road http://t.co/6D1BEiP3"
Relevant,"Colorado wildfire hops road: Firefighters Thursday made progress against a massive wildfire 15 miles west of For... http://t.co/ZGeaE7su"
Not Relevant,"RT @AnaCabrera: #HighParkFire latest: 52
Not Relevant,"RT @cwalkertime23: Goodluck bro do work . RT @jahprobound: Wheels up. Off to Colorado springs. ✌✈"
Not Relevant,"Anything Goes opens summer season at RMRT http://t.co/m13SYv7A #colorado"
Not Relevant,"Larry Austin jr headed to Colorado Springs for Fiba U17 World Championship tryouts #teamrose"
Not Relevant,"RT @USFWSHQ: We're reading @latimes: Colorado wildfire could burn all summer
Not Relevant,"RT @denverpost: #HighParkFire has now burned more than 50
Not Relevant,"#HighParkFire info on #LarimerCounty webpage. A lot of advice about prepping for a fire
Relevant,"RT @COEmergency: #HighParkFire Disaster Recovery Center opened this morning at CSU Johnson Hall to bring together resources. http://t.co ..."
Not Relevant,"Selling your Colorado Springs Colorado home? http://t.co/bui6YnzJ http://t.co/N1CKh6yV"
Not Relevant,"#wyzant #jobs #ColoradoSprings A student in Colorado Springs
Relevant,"RT @COEmergency: Want to donate to #HighParkFire families? Go to http://t.co/lo57JOy8"
Relevant,"RT @850KOA: Devasting update from #HighParkFire.  112 homes lost.  More likely to be counted in the coming days."
Relevant,"Back to the news: Latest perimeter map of the #HighParkFire as of late last night: http://t.co/vP3PhhKW"
Not Relevant,"#Internship Product Management Internship: DiversityWorking - Fort Collins
Relevant,"Colorado wildfire: High Park Fire near Fort Collins devours 37000 acres"
Relevant,"Colorado wildfire: High Park Fire near Fort Collins devours 37000 acres"
Not Relevant,"RT @KyleLSaunders: Whoops
Not Relevant,"RT @ColoradoStateU: Meet Ellie
Not Relevant,"1908 photo Colorado Midland Band
Not Relevant,"RT @BreakingNews: Officials: Colorado's High Park fire claims 181 homes
Not Relevant,"Looks a lot like MOMA-San Francisco; I suspect the same architect. #denver #colorado #r  @ Denver Art Museum http://t.co/HFzKRH1d"
Not Relevant,"Full Time Housekeeper - Colorado Springs
Not Relevant,"BetRebels Live: (USA-MLS) #Vancouver Whitecaps vs #Colorado Rapids: 1-0: Goal for Vancouver Whitecaps http://t.co/GJGwRBmq @betrebels"
Relevant,"Most destructive ever Colorado wildfire burns 181 homes http://t.co/D7pnuBOD via @msnbc_us"
Relevant,"High Park Fire 2012: Colorado Blaze Burns Record Number Of Homes: DENVER -- Additional crews were arriving Satur... http://t.co/sujgYpDy"
Not Relevant,"This is a beautiful state #Colorado"
Relevant,"[Denver News] Colorado wildfire ranks as most destructive in state history: DENVER (Reuters) - An 85-square-mile... http://t.co/yHGdSthP"
Not Relevant,"RT @9NEWS: #HIGHPARKFIRE now 45% containment
Not Relevant,"“@news_com_au: THE wildfire burning just west of Fort Collins
Not Relevant,"@thewantedmusic  I would love If you came to Colorado Springs so I don't have to only see you on YouTube"
Relevant,"Wildfire destroys 181 homes in Colorado: Additional crews were joining the fight Saturday against a wildfire in ... http://t.co/fqUi3Wu6"
Relevant,"RT @ashleytrailrun: wishes all dads fighting the #highparkfire a happy father's day; also the evacuated dads who'll spend tomorrow comfo ..."
Not Relevant,"Denver ties for nation's microbrew capital; Colorado Springs not far ...: Browse Food/Drink. Food/Drink Home Pag... http://t.co/nHU6w5C7"
Relevant,"Colorado Sees Record Fire Damage http://t.co/8e0BxjxW"
Relevant,"What a week it's been!  #highparkfire you better behave today.  http://t.co/LAn96lrY"
Not Relevant,"RT @SeverePlains: #HighParkFire now most destructive in #COFire history
Not Relevant,"#HighParkFire UPDATE: Re-Evacuations being announced for Hwy 14
Not Relevant,"RT @coloradoan: #HighParkFire UPDATE: Re-Evacuations being announced for Hwy 14
Relevant,"Most destructive ever Colorado wildfire burns 181 homes - U.S. News http://t.co/Gnuz2cFp #COLORADOWILDFIRES"
Relevant,"Worst Colorado wildfire i... http://t.co/rFBZXtQ1"
Relevant,"#highparkfire from Loveland  http://t.co/WDBh0E7G"
Relevant,"High Park Fire: Kansas &amp;amp; Nebraska National Guards Support Colorado http://t.co/QRuKUrFj via @youtube [Like it? http://t.co/wHLz1XYp ]"
Not Relevant,"Unprecedented Colorado Wildfires Continue
Not Relevant,"Search ends for Japanese climbers on Mt. McKinley http://t.co/8ePHqLTm #sumco #colorado"
Not Relevant,"3 days and its just me
Relevant,"RT @Org9: #note Please those affected by #highparkfire know that auth will make arrangements to get the affected #animals out - do not f ..."
Not Relevant,"...keeping a wary eye on the #SpringerFire. Sure
Relevant,"RT @SMDayFoCo2012: Holy McGillicutty! Wind gusts up to 60 tonight?? #Needabreak. #HighParkFire"
Not Relevant,"Biking is better than most things. #mtb #colorado #sunset #bike #nature #sky  http://t.co/2QMscFfC"
Relevant,"RT @brianlphoto: Sunset in my hometown Fort Collins. High Park Fire smoke. #HighParkFire http://t.co/snllB0fB"
Not Relevant,"Unprecedented Colorado Wildfires Continue
Not Relevant,"2bd 2ba ranch townhouse in desirable Hover Ridge in #Longmont | $224
Relevant,"Colorado High Park Fire: Potential Looters Pose New Threat - ABC News: ABC NewsColorado High Park Fire: Potentia... http://t.co/4a1hBEVB"
Not Relevant,"RT @denvernews: Denver News: Colorado to sizzle with record heat Monday
Relevant,"RT @CNNLive: Officials in #Colorado update the status of the High Park #wildfire.  Live: http://t.co/t3AZmcW2"
Not Relevant,"Rockus - Photos: David Bazan at Fuel/Friends House Show
Not Relevant,"See if our business loans are right for you. http://t.co/BcexcR8d #construction #commercial #Colorado #Business #Economy"
Not Relevant,"RT @etniesBMX: That park is Amazing! “@NinaBurrito: Thanks etnies for helpin us on the #yeahzinetrip we made it to Colorado Springs!! ht ..."
Not Relevant,"RT @Meagan9News: Concern today for #highparkfire: Explosive weather conditions because of heat
Not Relevant,"RT @conewswire: Jogger hit
Not Relevant,"RT @timmytink: Colorado wildfire: Extreme weather conditions stoke High Park Fire
Relevant,"3 more homes may have burned in Colorado wildfire http://t.co/fHsfRvox #aspen"
Relevant,"RT @AC360: Firefighters are up against dangerous conditions trying to control the #Colorado wildfire. The latest from @chadmyerscnn 8 &a ..."
Relevant,"RT @AP: AP VIDEO: Wildfire tearing through northern Colorado destroys the house that Jeff Corum recently renovated: http://t.co/02UEpaxr ..."
Relevant,"Colorado wildfire destroys 8 more homes; structure toll at 189 http://t.co/OOTX4wNu"
Not Relevant,"Hyatt Regency 80202 Selected Colorado Airport Transportation 720-535-6030 #denver #colorado #airport #transportation #hyattregency #shuttle"
Not Relevant,"Colorado fire tops 58
Relevant,"High Winds Hamper Efforts to Fight Historic Colorado Wildfire http://t.co/uK4y4PIl"
Not Relevant,"RT @dbouwman: Pretty smoke free day Fort Collins
Not Relevant,"Adventure Park di Glenwood Springs
Relevant,"Wind and heat fuel Colorado wildfire: Forecasters are expecting warmer than normal temperatures and gusty winds ... http://t.co/4tlsHcv9"
Relevant,"Colorado wildfire now 50 percent contained http://t.co/nXfvS9tF"
Relevant,"Colorado wildfire now 50 percent contained http://t.co/JOhi7rMx #bay2biz"
Relevant,"Thin the Trees. No beetle kill. #HighParkFire http://t.co/D5jzzJtP"
Not Relevant,"Wind
Relevant,"Colorado wildfire: dramatic photographs of #highparkfire. http://t.co/igwlWNsw"
Relevant,"RT @LarimerSheriff: #HighParkFire Final Evening Update for 6-18-12.  Made some progress on containment! Check out the link. http://t.co/ ..."
Not Relevant,"RT @peta: Security guard exposes elephant beatings by @RinglingTweets in Colorado Springs
Not Relevant,"On our way to Colorado springs! Pumped to be in the mountains"
Relevant,"These wildfires in Colorado need to stop #favoriteplace"
Relevant,"Colorado Wildfire Now 50 Percent Contained - LEX18 Lexington KY News http://t.co/ltAB7NSp"
Not Relevant,"RT @grouptour: High-elevation roller coaster opens at #Colorado’s @GlenwoodCaverns Adventure Park : http://t.co/Aiz3cCaZ #TT"
Not Relevant,"RT @cnnbrk: #Colorado firefighters facing more wind
Not Relevant,"#Personhood is back in #Colorado-check out this pic to get the lowdown #3xNoCharm #COPolitics http://t.co/8dAmsrkj"
Relevant,"Thank you to all firefighters who are out at the #highparkfire protecting homes and saving lives."
Not Relevant,"What? RT @danieljchacon: At about 71 percent
Relevant,"RT @COEmergency: Items needed for #HighParkFire Donation Center.  http://t.co/FlNhdClR"
Not Relevant,"I'm at WolfWind (Colorado Springs
Not Relevant,"Wind
Relevant,"RT @Maiani16: Thoughts and prayers to the victims of the Colorado wildfires #secondhome"
Relevant,"RT @barry_osborne: #UFO activist: Mass airing of Rain Melody may end Colorado's #HighParkFire: http://t.co/rVhJGZVm"
Relevant,"BIG Colorado Thank You to @Good4UDrinks for sending more drinks to the frontline.  #HighParkFire http://t.co/sSH2NS2y"
Not Relevant,"Wells Fargo is now looking for qualified #job applicants in Colorado Springs
Not Relevant,"Cameras come out when the BBoys start dancing... #bboy #breaklife #denver #colorado  http://t.co/gs1GvSuH"
Not Relevant,"Went back in the ole memory banks and relived a mountain hike with my late great brother Mike. Posting about it tomorrow. #Colorado #hiking"
Not Relevant,"@GMInsideNews @Holden We need that truck here! #Colorado #GMchat"
Not Relevant,"RT @pinkbunny70: Prayers for the residents
Not Relevant,"#Colorado #Sky Watch RedGage - http://t.co/siWOZ5An"
Relevant,"RT @EmrgncyNewsWire: Wildfires could force more evacuations - WTVQ http://t.co/M4ZZEu6w #Wildfire"
